#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RP20_CCG006899	RP20_CCG016583	7160.A0A182GBE2	7160.A0A182GVN2	0	0	0	0	0.041	0.217	0.286	0.084	0.443
RP20_CCG006899	RP20_CCG020703	7160.A0A182GBE2	7160.A0A182H338	0	0	0	0	0.042	0.842	0.166	0.101	0.871
RP20_CCG006965	RP20_CCG018418	7160.A0A182GBH6	7160.A0A182GZ08	0.072	0	0	0	0.089	0	0.308	0.163	0.444
RP20_CCG006965	RP20_CCG007310	7160.A0A182GBH6	7160.A0A182GC41	0.072	0	0	0	0.089	0	0.855	0.275	0.899
RP20_CCG007000	RP20_CCG020338	7160.A0A182GBK3	7160.A0A182H2D7	0	0	0	0	0.053	0	0.858	0	0.859
RP20_CCG007000	RP20_CCG024597	7160.A0A182GBK3	7160.A0A182H9C6	0	0	0	0	0.096	0	0.858	0	0.866
RP20_CCG007119	RP20_CCG026368	7160.A0A182GBS7	7160.A0A182HC61	0	0	0	0	0	0.472	0	0	0.472
RP20_CCG007174	RP20_CCG009132	7160.A0A182GBV7	7160.A0A182GFQ8	0	0	0	0	0.118	0.190	0	0.237	0.407
RP20_CCG007174	RP20_CCG021504	7160.A0A182GBV7	7160.A0A182H4G7	0.055	0	0	0	0.050	0.327	0	0.312	0.528
RP20_CCG007211	RP20_CCG012239	7160.A0A182GBY5	7160.A0A182GM03	0	0	0.403	0	0	0	0	0	0.403
RP20_CCG007211	RP20_CCG027595	7160.A0A182GBY5	7160.A0A182HE13	0	0	0.405	0	0	0	0	0	0.405
RP20_CCG007211	RP20_CCG021137	7160.A0A182GBY5	7160.A0A182H3T1	0	0	0.420	0	0	0	0	0	0.420
RP20_CCG007211	RP20_CCG015350	7160.A0A182GBY5	7160.A0A182GT83	0	0	0.435	0	0	0	0	0	0.435
RP20_CCG007211	RP20_CCG020989	7160.A0A182GBY5	7160.A0A182H3K8	0	0	0.443	0	0	0	0	0	0.443
RP20_CCG007211	RP20_CCG007238	7160.A0A182GBY5	7160.A0A182GBZ5	0	0	0.454	0	0	0	0	0	0.454
RP20_CCG007238	RP20_CCG010842	7160.A0A182GBZ5	7160.A0A182H373	0	0.022	0.435	0	0	0	0	0	0.435
RP20_CCG007238	RP20_CCG025689	7160.A0A182GBZ5	7160.A0A182HB39	0	0	0.160	0.694	0	0	0.360	0	0.439
RP20_CCG007238	RP20_CCG015806	7160.A0A182GBZ5	7160.A0A182HEI5	0	0.020	0.440	0	0	0	0	0	0.440
RP20_CCG007238	RP20_CCG025029	7160.A0A182GBZ5	7160.A0A182HA07	0	0	0.168	0.730	0	0	0.360	0	0.445
RP20_CCG007238	RP20_CCG022500	7160.A0A182GBZ5	7160.A0A182H637	0	0	0.173	0.642	0	0	0.360	0	0.448
RP20_CCG007238	RP20_CCG012365	7160.A0A182GBZ5	7160.A0A182GM87	0	0	0.187	0.657	0	0	0.360	0	0.457
RP20_CCG007238	RP20_CCG027114	7160.A0A182GBZ5	7160.A0A182HDC0	0	0.061	0.463	0	0	0	0	0	0.474
RP20_CCG007310	RP20_CCG018418	7160.A0A182GC41	7160.A0A182GZ08	0	0	0	0	0	0	0.281	0.493	0.619
RP20_CCG007310	RP20_CCG019013	7160.A0A182GC41	7160.A0A182H022	0.060	0	0	0	0.054	0	0.900	0.100	0.909
RP20_CCG007311	RP20_CCG027188	7160.A0A182GC42	7160.A0A182HDG6	0	0	0	0	0	0.156	0	0.349	0.427
RP20_CCG007410	RP20_CCG022027	7160.A0A023EIL7	7160.A0A182H5B7	0.111	0	0	0	0	0	0	0.505	0.541
RP20_CCG007423	RP20_CCG023780	7160.A0A182GCC0	7160.A0A182H841	0.054	0	0	0	0	0	0.900	0.046	0.901
RP20_CCG007427	RP20_CCG023780	7160.A0A182GCC4	7160.A0A182H841	0.054	0	0	0	0	0	0.900	0.046	0.901
RP20_CCG007463	RP20_CCG012545	7160.A0A182GCE9	7160.A0A182GMK4	0	0	0.450	0	0	0	0	0	0.450
RP20_CCG007463	RP20_CCG007836	7160.A0A182GCE9	7160.A0A182GD47	0	0	0.456	0	0	0	0	0	0.456
RP20_CCG007490	RP20_CCG012281	7160.A0A182GCG5	7160.A0A182GM34	0	0	0	0	0.217	0.805	0	0.355	0.892
RP20_CCG007750	RP20_CCG025494	7160.A0A182GCX7	7160.A0A023EPY3	0.054	0	0	0	0.180	0.123	0	0.262	0.430
RP20_CCG007750	RP20_CCG025714	7160.A0A182GCX7	7160.A0A182HB57	0.046	0	0	0	0.143	0.185	0.216	0.124	0.458
