#node	identifier	node_degree
RP20_CCG016899	7160.A0A182GW84	0
RP20_CCG016956	7160.A0A182GWA7	1
RP20_CCG017036	7160.A0A182GWG4	1
RP20_CCG017225	7160.A0A182GWS6	0
RP20_CCG017400	7160.A0A182GX42	3
RP20_CCG017449	7160.A0A023EDY3	0
RP20_CCG017552	7160.A0A182GXE6	0
RP20_CCG017609	7160.A0A182GXI3	6
RP20_CCG017612	7160.A0A182GXI4	8
RP20_CCG017656	7160.A0A182GXK9	2
RP20_CCG017904	7160.A0A182GY18	1
RP20_CCG017917	7160.A0A182GY22	0
RP20_CCG017953	7160.A0A182GY39	0
RP20_CCG017991	7160.A0A182GY58	0
RP20_CCG018204	7160.A0A182GYJ6	2
RP20_CCG018227	7160.A0A182GYL1	1
RP20_CCG018278	7160.A0A182GYP6	0
RP20_CCG018285	7160.A0A182GYQ3	1
RP20_CCG018290	7160.A0A182GYQ8	1
RP20_CCG018391	7160.A0A182GYY8	0
RP20_CCG018418	7160.A0A182GZ08	3
RP20_CCG018421	7160.A0A182GZ11	0
RP20_CCG018455	7160.A0A182GZ34	2
RP20_CCG018493	7160.A0A182GZ59	1
RP20_CCG018534	7160.A0A182GZ82	0
RP20_CCG018673	7160.A0A182GZG4	0
RP20_CCG018728	7160.A0A182HE06	0
RP20_CCG018789	7160.A0A182GZN0	0
RP20_CCG018905	7160.A0A182GZU3	2
RP20_CCG018958	7160.A0A182GZY2	0
RP20_CCG018968	7160.A0A182GZY6	0
RP20_CCG018973	7160.A0A182GZZ1	0
RP20_CCG018988	7160.A0A182H006	2
RP20_CCG019013	7160.A0A182H022	1
RP20_CCG019046	7160.A0A182H044	3
RP20_CCG019112	7160.A0A182H086	1
RP20_CCG019204	7160.A0A182H0G0	0
RP20_CCG019292	7160.A0A182H0K9	1
RP20_CCG019399	7160.A0A182H0R7	1
RP20_CCG019454	7160.A0A182H0V3	0
RP20_CCG019480	7160.A0A182H0X1	1
RP20_CCG019499	7160.A0A182H0Y8	0
RP20_CCG019543	7160.A0A182H100	0
RP20_CCG019551	7160.A0A182H108	1
RP20_CCG019577	7160.A0A182H127	0
RP20_CCG019603	7160.A0A182H146	1
RP20_CCG019692	7160.A0A182H186	0
RP20_CCG019709	7160.A0A182H197	0
RP20_CCG019713	7160.A0A182H1A1	0
RP20_CCG019875	7160.A0A182H1J3	1
RP20_CCG019921	7160.A0A182GKL0	0
