"X.node","identifier","uniprot_id","id","protein_name","node_degree"
"RP20_CCG001937","7160.A0A182G364","A0A182G364","aalb:109422769","NFRKB",0
"RP20_CCG002028","7160.A0A182G3B9","A0A182G3B9","aalb:109622057","A0A182G3B9",8
"RP20_CCG002131","7160.A0A182G3H6","A0A182G3H6","aalb:109424312","A0A182G3H6",8
"RP20_CCG002133","7160.A0A182G3H7","A0A182G3H7","aalb:115255431","A0A182G3H7",1
"RP20_CCG002156","7160.A0A182G3J1","A0A182G3J1","aalb:115253601","A0A182G3J1",3
"RP20_CCG002230","7160.A0A182G3N4","A0A182G3N4","aalb:115260168","A0A182G3N4",1
"RP20_CCG002233","7160.A0A182G3N7","A0A182G3N7","aalb:115271083","A0A182G3N7",1
"RP20_CCG002318","7160.A0A182G3U2","A0A182G3U2","aalb:109426262","A0A182G3U2",1
"RP20_CCG002568","7160.A0A182G473","A0A182G473","aalb:109412100","A0A182G473",0
"RP20_CCG002728","7160.A0A182G4H0","A0A182G4H0","aalb:109622825","A0A182G4H0",2
"RP20_CCG002743","7160.A0A182G4I0","A0A182G4I0","aalb:115263647","A0A182G4I0",0
"RP20_CCG002897","7160.A0A182G4R2","A0A182G4R2","aalb:109405330","A0A182G4R2",2
"RP20_CCG002936","7160.A0A182G4S7","A0A182G4S7","aalb:109424273","A0A182G4S7",2
"RP20_CCG002937","7160.A0A182G4S8","A0A182G4S8","aalb:109428706","EXOC6",4
"RP20_CCG002972","7160.A0A182G4U6","A0A182G4U6","aalb:109422614","IVNS1ABP",0
"RP20_CCG002976","7160.A0A182G4V0","A0A182G4V0","aalb:109402828","A0A182G4V0",0
"RP20_CCG003006","7160.A0A182G4X0","A0A182G4X0","aalb:109428249","FIS1",3
"RP20_CCG003196","7160.A0A182G573","A0A182G573","aalb:109424835","A0A182G573",5
"RP20_CCG003235","7160.A0A182G593","A0A182G593","aalb:109430241","A0A182G593",8
"RP20_CCG003245","7160.A0A182G598","A0A182G598","aalb:109430280","dan",2
"RP20_CCG003299","7160.A0A182G5B9","A0A182G5B9","aalb:109398511","A0A182G5B9",3
"RP20_CCG003366","7160.A0A182G5F4","A0A182G5F4","aalb:109423606","A0A182G5F4",0
"RP20_CCG003410","7160.A0A023EJQ3","A0A023EJQ3","aalb:109424520","GINS3",1
"RP20_CCG003480","7160.A0A182G5M6","A0A182G5M6","aalb:109407917","A0A182G5M6",10
"RP20_CCG003534","7160.A0A023EJP8","A0A023EJP8","aalb:109417765","KdelR",3
"RP20_CCG003603","7160.A0A182G5U1","A0A182G5U1","aalb:109417821","GABPB1",0
"RP20_CCG003693","7160.A0A182G5Y8","A0A182G5Y8","aalb:109414622","PPP5C",2
"RP20_CCG003697","7160.A0A023EIB6","A0A023EIB6","aalb:109424830","RAB1A",12
"RP20_CCG003867","7160.A0A182G698","A0A182G698","aalb:109432996","A0A182G698",1
"RP20_CCG003981","7160.A0A182G6F8","A0A182G6F8","aalb:109420217","RPS6KA5",2
"RP20_CCG004030","7160.A0A023ED66","A0A023ED66","aalb:109400867","RPL36",10
"RP20_CCG004132","7160.A0A182G6N6","A0A182G6N6","aalb:109409972","A0A182G6N6",2
"RP20_CCG004137","7160.A0A182G6P1","A0A182G6P1","aalb:109410006","MIPEP",2
"RP20_CCG004244","7160.A0A182G6V7","A0A182G6V7","aalb:109426592","A0A182G6V7",4
"RP20_CCG004255","7160.A0A182G6W1","A0A182G6W1","aalb:109407248","A0A182G6W1",1
