"uniprot_id","mirna/enriched_term"
"Q17C39","Developmental process"
"Q17C93","aae-mir-34-5p"
"Q17C93","Developmental process"
"Q17CG1","aae-mir-34-5p"
"Q17CG1","Developmental process"
"Q17D24","aae-mir-34-5p"
"Q17D24","Developmental process"
"Q17DB6","aae-mir-34-5p"
"Q17DB6","Developmental process"
"Q17DL2","aae-mir-34-5p"
"Q17DL2","Developmental process"
"Q17DM5","aae-mir-34-5p"
"Q17DM5","Developmental process"
"Q17E44","aae-mir-34-5p"
"Q17E44","Developmental process"
"Q17EB3","aae-mir-34-5p"
"Q17EB3","Developmental process"
"Q17F07","aae-mir-34-5p"
"Q17F07","Developmental process"
"Q17F08","aae-mir-34-5p"
"Q17F08","Developmental process"
"Q17F71","aae-mir-34-5p"
"Q17F71","Developmental process"
"Q17FE8","aae-mir-34-5p"
"Q17FE8","Developmental process"
"Q17FE9","aae-mir-34-5p"
"Q17FE9","Developmental process"
"Q17G69","aae-mir-34-5p"
"Q17G69","Developmental process"
"Q17G70","aae-mir-34-5p"
"Q17G70","Developmental process"
"Q17GF2","aae-mir-34-5p"
"Q17GF2","Developmental process"
"Q17GP3","aae-mir-34-5p"
"Q17GP3","Developmental process"
"Q17GP4","aae-mir-34-5p"
"Q17GP4","Developmental process"
"Q17H75","aae-mir-34-5p"
"Q17H75","Developmental process"
"Q17HP2","aae-mir-34-5p"
"Q17HP2","Developmental process"
"Q17HS6","aae-mir-34-5p"
"Q17HS6","Developmental process"
"Q17I67","aae-mir-34-5p"
"Q17I67","Developmental process"
"Q17IC7","aae-mir-34-5p"
"Q17IC7","Developmental process"
"Q17IK5","aae-mir-34-5p"
"Q17IK5","Developmental process"
"Q17IL0","aae-mir-34-5p"
"Q17IL0","Developmental process"
"Q17J33","aae-mir-34-5p"
"Q17J33","Developmental process"
"Q17JY3","aae-mir-34-5p"
"Q17JY3","Developmental process"
"Q17K58","aae-mir-34-5p"
"Q17K58","Developmental process"
"Q17K67","aae-mir-34-5p"
"Q17K67","Developmental process"
"Q17K68","aae-mir-34-5p"
"Q17K68","Developmental process"
"Q17K93","aae-mir-34-5p"
"Q17K93","Developmental process"
"Q17KU1","aae-mir-34-5p"
"Q17KU1","Developmental process"
"Q17L13","aae-mir-34-5p"
"Q17L13","Developmental process"
"Q17L66","aae-mir-34-5p"
"Q17L66","Developmental process"
"Q17L67","aae-mir-34-5p"
"Q17L67","Developmental process"
"Q17LA6","aae-mir-34-5p"
"Q17LA6","Developmental process"
"Q17LI9","aae-mir-34-5p"
"Q17LI9","Developmental process"
"Q17MT6","aae-mir-34-5p"
"Q17MT6","Developmental process"
"Q17MX1","aae-mir-34-5p"
"Q17MX1","Developmental process"
"Q17MX6","aae-mir-34-5p"
"Q17MX6","Developmental process"
"Q17MX7","aae-mir-34-5p"
"Q17MX7","Developmental process"
"Q17N01","aae-mir-34-5p"
"Q17N01","Developmental process"
"Q17NC1","aae-mir-34-5p"
"Q17NC1","Developmental process"
"Q17NE5","aae-mir-34-5p"
"Q17NE5","Developmental process"
"Q17NJ1","aae-mir-34-5p"
"Q17NJ1","Developmental process"
"Q17NP6","aae-mir-34-5p"
"Q17NP6","Developmental process"
"Q17P09","aae-mir-34-5p"
"Q17P09","Developmental process"
"Q17PG3","aae-mir-34-5p"
"Q17PG3","Developmental process"
"Q17PN7","aae-mir-34-5p"
"Q17PN7","Developmental process"
"Q17PT9","aae-mir-34-5p"
"Q17PT9","Developmental process"
"Q17PU2","aae-mir-34-5p"
"Q17PU2","Developmental process"
"J9EAF0","aae-mir-34-5p"
"J9EAF0","Anatomical structure development"
"J9EAN8","aae-mir-34-5p"
"J9EAN8","Anatomical structure development"
"J9HTV7","aae-mir-34-5p"
"J9HTV7","Anatomical structure development"
"Q0C745","aae-mir-34-5p"
"Q0C745","Anatomical structure development"
"Q0C7B1","aae-mir-34-5p"
"Q0C7B1","Anatomical structure development"
"Q0IF14","aae-mir-34-5p"
"Q0IF14","Anatomical structure development"
"Q0IG29","aae-mir-34-5p"
"Q0IG29","Anatomical structure development"
"Q16FK4","aae-mir-34-5p"
"Q16FK4","Anatomical structure development"
"Q16G14","aae-mir-34-5p"
"Q16G14","Anatomical structure development"
"Q16GK5","aae-mir-34-5p"
"Q16GK5","Anatomical structure development"
"Q16GL8","aae-mir-34-5p"
"Q16GL8","Anatomical structure development"
"Q16HK0","aae-mir-34-5p"
"Q16HK0","Anatomical structure development"
"Q16I15","aae-mir-34-5p"
"Q16I15","Anatomical structure development"
"Q16I75","aae-mir-34-5p"
"Q16I75","Anatomical structure development"
"Q16I88","aae-mir-34-5p"
"Q16I88","Anatomical structure development"
