"uniprot_id","enriched_term"
"Q17FE8","Developmental process"
"Q17FE9","Developmental process"
"Q17G69","Developmental process"
"Q17G70","Developmental process"
"Q17GF2","Developmental process"
"Q17GI1","Developmental process"
"Q17GP3","Developmental process"
"Q17GP4","Developmental process"
"Q17H75","Developmental process"
"Q17HA9","Developmental process"
"Q17HG6","Developmental process"
"Q17HP2","Developmental process"
"Q17HS6","Developmental process"
"Q17I67","Developmental process"
"Q17IA0","Developmental process"
"Q17IC7","Developmental process"
"Q17IK5","Developmental process"
"Q17IL0","Developmental process"
"Q17J33","Developmental process"
"Q17JY3","Developmental process"
"Q17K20","Developmental process"
"Q17K58","Developmental process"
"Q17K67","Developmental process"
"Q17K68","Developmental process"
"Q17K93","Developmental process"
"Q17KU1","Developmental process"
"Q17L13","Developmental process"
"Q17L66","Developmental process"
"Q17L67","Developmental process"
"Q17LA6","Developmental process"
"Q17LI9","Developmental process"
"Q17M42","Developmental process"
"Q17MT6","Developmental process"
"Q17MX1","Developmental process"
"Q17MX6","Developmental process"
"Q17MX7","Developmental process"
"Q17N01","Developmental process"
"Q17NC1","Developmental process"
"Q17NE5","Developmental process"
"Q17NJ1","Developmental process"
"Q17NP6","Developmental process"
"Q17P09","Developmental process"
"Q17PG3","Developmental process"
"Q17PN7","Developmental process"
"Q17PT9","Developmental process"
"Q17PU2","Developmental process"
"Q1HRW3","Developmental process"
"J9EAF0","Anatomical structure development"
"J9EAN8","Anatomical structure development"
"J9HTV7","Anatomical structure development"
"Q0C745","Anatomical structure development"
"Q0C7B1","Anatomical structure development"
"Q0IE98","Anatomical structure development"
"Q0IE99","Anatomical structure development"
"Q0IF14","Anatomical structure development"
"Q0IFC5","Anatomical structure development"
"Q0IG29","Anatomical structure development"
"Q16FK4","Anatomical structure development"
"Q16G14","Anatomical structure development"
"Q16GK5","Anatomical structure development"
"Q16GL8","Anatomical structure development"
"Q16HK0","Anatomical structure development"
"Q16I15","Anatomical structure development"
"Q16I75","Anatomical structure development"
"Q16I88","Anatomical structure development"
"Q16IN4","Anatomical structure development"
"Q16IW8","Anatomical structure development"
"Q16JC3","Anatomical structure development"
"Q16JN7","Anatomical structure development"
"Q16KQ8","Anatomical structure development"
"Q16KQ9","Anatomical structure development"
"Q16KR0","Anatomical structure development"
"Q16KR1","Anatomical structure development"
"Q16L96","Anatomical structure development"
"Q16LK0","Anatomical structure development"
"Q16LS6","Anatomical structure development"
"Q16LU2","Anatomical structure development"
"Q16LX7","Anatomical structure development"
"Q16M45","Anatomical structure development"
"Q16M53","Anatomical structure development"
"Q16M54","Anatomical structure development"
"Q16MK4","Anatomical structure development"
"Q16N83","Anatomical structure development"
"Q16N85","Anatomical structure development"
"Q16NB0","Anatomical structure development"
"Q16NC7","Anatomical structure development"
"Q16PP6","Anatomical structure development"
"Q16PT5","Anatomical structure development"
"Q16R23","Anatomical structure development"
"Q16R65","Anatomical structure development"
"Q16R88","Anatomical structure development"
"Q16RM1","Anatomical structure development"
"Q16RU6","Anatomical structure development"
"Q16S36","Anatomical structure development"
"Q16SB0","Anatomical structure development"
"Q16SL7","Anatomical structure development"
"Q16TM2","Anatomical structure development"
"Q16TR7","Anatomical structure development"
"Q16U10","Anatomical structure development"
"Q16U87","Anatomical structure development"
"Q16U90","Anatomical structure development"
