"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","GO:0010941","Regulation of cell death",32,320,0.32,0.45,0.0037,"7159.J9HJ36,7159.Q0IFC5,7159.Q16G52,7159.Q16HY7,7159.Q16LM2,7159.Q16LM4,7159.Q16LM5,7159.Q16MK6,7159.Q16S36,7159.Q16SB0,7159.Q16UZ9,7159.Q16WV1,7159.Q16WX3,7159.Q16Y82,7159.Q16Y83,7159.Q176F7,7159.Q176R4,7159.Q177S2,7159.Q179U2,7159.Q17C29,7159.Q17EH0,7159.Q17EP7,7159.Q17GI1,7159.Q17H53,7159.Q17HS6,7159.Q17IL0,7159.Q17J33,7159.Q17JY3,7159.Q17MT6,7159.Q1DGG0,7159.Q1HQW4,7159.Q1HR39","J9HJ36_AEDAE,AAEL005895,AAEL014519,AAEL013859,AAEL012599,AAEL012603,AAEL012604,AAEL012272,AAEL010716,AAEL010643,AAEL009739,IAP1,AAEL009057,AAEL008622,AAEL008634,AAEL006373,AAEL006265,AAEL006038,AAEL005512,AAEL004715,AAEL003845,AAEL003731,AAEL003013,AAEL002787,AAEL002594,AAEL002287,AAEL002171,AAEL001861,ARK,AAEL015648,AAEL007293,AAEL011873","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050770","Regulation of axonogenesis",11,55,0.62,0.53,0.004,"7159.Q16SB0,7159.Q173C6,7159.Q174T9,7159.Q174W8,7159.Q17CF0,7159.Q17FI9,7159.Q17GF2,7159.Q17H88,7159.Q17HS6,7159.Q17M42,7159.Q17P09","AAEL010643,AAEL007190,AAEL006801,GPRFZ2,AAEL004586,AAEL003373,AAEL003109,AAEL002769,AAEL002594,AAEL001104,AAEL000489","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0070936","Protein K48-linked ubiquitination",6,14,0.95,0.58,0.0044,"7159.Q16LM2,7159.Q16LM4,7159.Q16LM5,7159.Q16UL1,7159.Q16WV1,7159.Q179U2","AAEL012599,AAEL012603,AAEL012604,AAEL009874,IAP1,AAEL005512","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048682","Sprouting of injured axon",4,4,1.32,0.58,0.0056,"7159.Q16RU6,7159.Q16Y82,7159.Q16Y83,7159.Q1HQW4","AAEL010835,AAEL008622,AAEL008634,AAEL007293","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0098742","Cell-cell adhesion via plasma-membrane adhesion molecules",14,90,0.51,0.48,0.0056,"7159.Q16GJ5,7159.Q16HX2,7159.Q16M52,7159.Q16ML6,7159.Q16WF1,7159.Q16WM8,7159.Q17A91,7159.Q17DL2,7159.Q17G69,7159.Q17HA9,7159.Q17HG6,7159.Q17J08,7159.Q17L79,7159.Q17NP6","AAEL014357,AAEL013873,AAEL012421,AAEL012262,AAEL009240,AAEL009173,AAEL005372,AAEL004133,AAEL003169,AAEL002754,AAEL002690,AAEL002143,AAEL001467,AAEL000597","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050768","Negative regulation of neurogenesis",10,50,0.62,0.48,0.0073,"7159.Q16HF3,7159.Q16Q60,7159.Q16QQ5,7159.Q16RM1,7159.Q17CF0,7159.Q17DL2,7159.Q17FI9,7159.Q17G69,7159.Q17H88,7159.Q1DGR6","AAEL014042,AAEL011396,AAEL011215,AAEL010908,AAEL004586,AAEL004133,AAEL003373,AAEL003169,AAEL002769,AAEL015522","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0051865","Protein autoubiquitination",7,26,0.75,0.46,0.0116,"7159.Q16HN5,7159.Q16LM2,7159.Q16LM4,7159.Q16LM5,7159.Q16WV1,7159.Q179U2,7159.Q17A34","AAEL013965,AAEL012599,AAEL012603,AAEL012604,IAP1,AAEL005512,AAEL005424","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0035332","Positive regulation of hippo signaling",8,35,0.68,0.45,0.012,"7159.J9HJ36,7159.Q16HY7,7159.Q175B9,7159.Q17CE8,7159.Q17DL2,7159.Q17EP7,7159.Q17G69,7159.Q1HQW4","J9HJ36_AEDAE,AAEL013859,AAEL006710,AAEL004592,AAEL004133,AAEL003731,AAEL003169,AAEL007293","GO Biological Process","other","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0045746","Negative regulation of Notch signaling pathway",8,35,0.68,0.45,0.012,"7159.J9HYY6,7159.Q16G52,7159.Q16N73,7159.Q16QW6,7159.Q16QW7,7159.Q16UZ9,7159.Q17IQ5,7159.Q17IQ7","J9HYY6_AEDAE,AAEL014519,AAEL012068,AAEL011151,AAEL011154,AAEL009739,AAEL002253,AAEL002262","GO Biological Process","other","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0006836","Neurotransmitter transport",14,100,0.47,0.41,0.0127,"7159.Q16F21,7159.Q16IW8,7159.Q16LS6,7159.Q16RP7,7159.Q16TV9,7159.Q16WA7,7159.Q16WM9,7159.Q16XQ1,7159.Q174T7,7159.Q179N7,7159.Q17CG1,7159.Q17CJ4,7159.Q17P38,7159.Q17P39","AAEL014927,AAEL013529,AAEL012541,AAEL010883,AAEL010106,AAEL009304,AAEL009169,AAEL008816,AAEL006800,AAEL005581,AAEL004549,AAEL004559,AAEL000524,AAEL000479","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
